frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
121,188330144.1,20.73,1,1,0.7523,0.3764
122,188330166.4,30.91,1,1,0.7721,0.3857
123,188330198.9,31.75,1,1,0.7952,0.4190
124,188330232.6,28.87,1,1,0.8112,0.4844
125,188330268.1,27.92,1,1,0.8021,0.5697
126,188330298.0,29.51,1,1,0.7937,0.6179
127,188330329.0,33.01,1,1,0.7790,0.6677
128,188330364.1,45.21,1,1,0.7586,0.6984
129,188330411.2,31.48,1,1,0.7428,0.7113
130,188330444.6,27.72,1,1,0.7156,0.7072
131,188330486.3,19.46,1,1,0.7012,0.6742
132,188330507.3,29.31,1,1,0.6941,0.6369
133,188330538.8,29.63,1,1,0.6986,0.5898
134,188330570.0,31.20,1,1,0.7099,0.5330
135,188330603.2,30.13,1,1,0.7348,0.4732
136,188330635.3,30.16,1,1,0.7634,0.4433
137,188330672.3,26.07,1,1,0.7890,0.4444
138,188330700.3,27.20,1,1,0.8022,0.4530
139,188330735.3,22.90,1,1,0.8046,0.4323
140,188330760.1,49.62,1,1,0.8004,0.3988
141,188330811.5,31.48,1,1,0.7796,0.3744
142,188330844.9,28.15,1,1,0.7605,0.3593
143,188330877.3,25.22,1,1,0.7490,0.3489
144,188330904.1,30.56,1,1,0.7411,0.3421
145,188330936.3,28.02,1,1,0.7334,0.3404
146,188330965.9,31.93,1,1,0.7294,0.3387
147,188330999.8,30.18,1,1,0.7303,0.3349
148,188331031.9,32.07,1,1,0.7344,0.3310
149,188331065.9,39.52,1,1,0.7392,0.3292
150,188331107.3,30.62,1,1,0.7427,0.3306
151,188331139.7,20.76,1,1,0.7452,0.3320
152,188331162.4,44.20,1,1,0.7458,0.3329
153,188331222.8,19.89,1,1,0.7456,0.3374
154,188331244.4,30.58,1,1,0.7527,0.3670
155,188331276.9,28.75,1,1,0.7492,0.4600
156,188331307.4,30.65,1,1,0.7399,0.5249
157,188331339.9,24.65,1,1,0.7309,0.5648
158,188331366.2,31.45,1,1,0.7215,0.5932
159,188331399.6,32.60,1,1,0.7132,0.6124
160,188331434.1,28.88,1,1,0.7089,0.6259
161,188331473.3,29.78,1,1,0.7064,0.6367
162,188331505.1,20.00,1,1,0.7054,0.6433
163,188331526.6,33.62,1,1,0.7044,0.6459
164,188331562.0,47.65,1,1,0.7045,0.6491
165,188331611.9,28.55,1,1,0.7042,0.6511
166,188331642.0,32.41,1,1,0.7039,0.6526
167,188331676.3,26.66,1,1,0.7044,0.6533
168,188331707.4,28.65,1,1,0.7060,0.6543
169,188331737.6,29.66,1,1,0.7105,0.6553
170,188331769.9,29.57,1,1,0.7082,0.6255
171,188331801.9,31.62,1,1,0.7058,0.6053
172,188331835.3,28.07,1,0,0.7047,0.5864
173,188331865.0,35.17,1,0,0.7044,0.5721
174,188331902.1,25.64,1,0,0.7043,0.5629
175,188331942.4,19.88,1,0,0.7043,0.5554
176,188331963.9,43.43,1,0,0.7041,0.5511
177,188332009.3,26.56,1,0,0.7023,0.5442
178,188332037.7,35.61,1,0,0.7029,0.5306
179,188332075.3,30.21,1,1,0.7092,0.5160
180,188332107.2,28.08,1,1,0.7078,0.4668
181,188332145.4,19.25,1,1,0.7062,0.4171
182,188332166.2,33.56,1,1,0.7074,0.3855
183,188332201.7,32.15,1,1,0.7105,0.3631
184,188332235.8,28.18,1,1,0.7145,0.3481
185,188332271.1,26.28,1,1,0.7180,0.3379
186,188332298.9,28.67,1,1,0.7208,0.3314
187,188332332.4,26.84,1,1,0.7218,0.3285
188,188332363.9,46.09,1,1,0.7219,0.3282
189,188332426.9,22.07,1,1,0.7212,0.3297
190,188332451.0,20.75,1,1,0.7198,0.3322
191,188332474.4,28.10,1,1,0.7181,0.3348
192,188332505.4,29.68,1,1,0.7163,0.3395
193,188332537.0,29.97,1,1,0.7181,0.3532
194,188332569.1,32.24,1,1,0.7240,0.4102
195,188332603.3,29.13,1,1,0.7207,0.4926
196,188332634.0,30.10,1,1,0.7182,0.5467
197,188332666.1,30.40,1,1,0.7157,0.5767
198,188332708.4,20.71,1,1,0.7131,0.6018
199,188332739.4,19.86,1,1,0.7118,0.6191
200,188332761.0,45.39,1,1,0.7117,0.6313
201,188332817.9,22.33,1,1,0.7121,0.6400
202,188332842.0,31.85,1,1,0.7127,0.6451
203,188332875.8,23.89,1,1,0.7138,0.6488
204,188332901.2,32.09,1,1,0.7142,0.6509
205,188332935.3,31.29,1,1,0.7141,0.6522
206,188332975.0,22.74,1,1,0.7137,0.6527
207,188332999.2,29.32,1,1,0.7140,0.6526
208,188333037.0,25.61,1,1,0.7149,0.6512
209,188333064.6,31.36,1,1,0.7145,0.6417
210,188333113.5,21.94,1,1,0.7109,0.6167
211,188333137.4,21.72,1,1,0.7087,0.5994
212,188333161.1,43.83,1,0,0.7079,0.5820
213,188333208.0,34.38,1,0,0.7075,0.5661
214,188333254.5,21.57,1,0,0.7073,0.5545
215,188333278.0,28.44,1,0,0.7071,0.5461
216,188333308.4,26.99,1,0,0.7067,0.5404
217,188333337.0,32.61,1,0,0.7063,0.5367
218,188333371.5,41.78,1,0,0.7061,0.5337
219,188333415.0,20.18,1,0,0.7060,0.5317
220,188333437.1,28.77,1,0,0.7059,0.5308
221,188333471.5,26.40,1,0,0.7058,0.5296
222,188333499.5,27.88,1,0,0.7057,0.5295
223,188333528.9,32.34,1,0,0.7058,0.5288
224,188333565.0,43.24,1,0,0.7057,0.5286
225,188333613.0,32.07,1,0,0.7056,0.5281
226,188333647.0,24.95,1,0,0.7054,0.5283
227,188333675.5,25.37,1,0,0.7055,0.5285
228,188333706.5,26.95,1,0,0.7055,0.5281
229,188333735.4,30.36,1,0,0.7055,0.5285
230,188333770.0,27.83,1,0,0.7055,0.5286
231,188333799.8,30.92,1,0,0.7054,0.5283
232,188333832.5,30.25,1,0,0.7055,0.5280
233,188333864.4,30.90,1,0,0.7056,0.5272
234,188333909.5,18.59,1,0,0.7042,0.5266
235,188333940.5,30.75,1,0,0.7009,0.5296
236,188333973.2,32.89,1,0,0.6944,0.5391
237,188334008.1,28.37,1,0,0.6860,0.5535
238,188334051.1,19.74,1,0,0.6787,0.5678
239,188334072.7,30.13,1,0,0.6741,0.5786
240,188334105.0,27.53,1,0,0.6718,0.5885
241,188334134.1,31.63,1,0,0.6706,0.5969
242,188334167.7,30.37,1,0,0.6702,0.6045
243,188334200.1,30.09,1,1,0.6709,0.6108
244,188334232.5,31.01,1,1,0.6716,0.6161
245,188334268.6,40.53,1,1,0.6724,0.6191
246,188334311.1,21.26,1,1,0.6738,0.6185
247,188334334.0,26.60,1,1,0.6748,0.6170
248,188334363.1,42.42,1,1,0.6752,0.6154
249,188334407.4,32.84,1,1,0.6759,0.6138
250,188334442.3,30.17,1,1,0.6770,0.6137
251,188334474.3,29.98,1,0,0.6777,0.6154
252,188334505.9,29.64,1,0,0.6782,0.6157
253,188334537.0,33.54,1,0,0.6785,0.6149
254,188334572.4,26.62,1,0,0.6788,0.6134
255,188334600.6,29.92,1,0,0.6790,0.6114
256,188334645.1,21.02,1,0,0.6795,0.6092
257,188334668.2,30.16,1,0,0.6803,0.6068
258,188334700.3,29.25,1,0,0.6811,0.6042
259,188334739.6,23.49,1,0,0.6819,0.6017
260,188334765.0,43.28,1,0,0.6825,0.5995
261,188334817.1,23.37,1,0,0.6831,0.5980
262,188334842.0,32.54,1,0,0.6836,0.5972
263,188334879.6,27.15,1,0,0.6839,0.5963
264,188334908.7,29.49,1,0,0.6840,0.5960
265,188334940.2,31.96,1,0,0.6838,0.5953
266,188334974.1,28.01,1,0,0.6834,0.5946
267,188335003.6,29.20,1,0,0.6831,0.5944
268,188335050.1,18.04,1,0,0.6827,0.5939
269,188335081.6,19.35,1,0,0.6824,0.5944
270,188335102.7,24.76,1,0,0.6820,0.5948
271,188335143.6,19.88,1,0,0.6820,0.5958
272,188335175.1,34.75,1,0,0.6820,0.5965
273,188335211.7,31.40,1,0,0.6821,0.5969
274,188335245.1,37.66,1,0,0.6807,0.5942
