frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
121,188526298.5,55.82,1,0,0.6420,0.5933
122,188526356.3,24.30,1,0,0.6430,0.5890
123,188526382.6,37.60,1,0,0.6438,0.5850
124,188526422.1,19.11,1,0,0.6447,0.5810
125,188526449.3,31.32,1,0,0.6454,0.5774
126,188526482.7,21.56,1,0,0.6460,0.5739
127,188526506.2,38.86,1,0,0.6464,0.5707
128,188526557.8,21.21,1,0,0.6469,0.5680
129,188526580.9,32.80,1,0,0.6470,0.5659
130,188526615.6,21.30,1,0,0.6474,0.5641
131,188526638.9,32.50,1,0,0.6474,0.5629
132,188526673.1,18.61,1,0,0.6475,0.5622
133,188526693.2,62.06,1,0,0.6475,0.5617
134,188526757.1,21.77,1,0,0.6477,0.5615
135,188526780.8,36.98,1,0,0.6480,0.5617
136,188526819.4,22.48,1,0,0.6486,0.5623
137,188526843.5,39.68,1,0,0.6493,0.5633
138,188526884.9,28.12,1,0,0.6504,0.5647
139,188526915.0,43.59,1,0,0.6513,0.5652
140,188526960.6,25.72,1,0,0.6523,0.5669
141,188526988.0,25.69,1,1,0.6516,0.5627
142,188527015.7,19.01,1,1,0.6502,0.5598
143,188527043.4,34.29,1,1,0.6528,0.5533
144,188527079.4,21.76,1,1,0.6546,0.5480
145,188527103.3,53.84,1,1,0.6580,0.5358
146,188527158.9,22.23,1,1,0.6616,0.5238
147,188527183.3,36.22,1,1,0.6689,0.5109
148,188527221.1,20.93,1,1,0.6747,0.4988
149,188527246.4,44.05,1,1,0.6830,0.4869
150,188527292.3,21.12,1,1,0.6896,0.4759
151,188527315.3,32.81,1,1,0.6968,0.4657
152,188527350.1,23.62,1,1,0.7027,0.4564
153,188527375.9,37.48,1,1,0.7080,0.4482
154,188527418.4,22.84,1,1,0.7127,0.4409
155,188527443.3,32.18,1,1,0.7164,0.4342
156,188527477.2,20.20,1,1,0.7201,0.4278
157,188527499.1,57.08,1,1,0.7222,0.4224
158,188527557.9,19.63,1,1,0.7244,0.4172
159,188527579.1,41.39,1,1,0.7259,0.4123
160,188527622.4,20.32,1,1,0.7267,0.4092
161,188527644.3,40.57,1,1,0.7272,0.4063
162,188527686.4,20.29,1,0,0.7273,0.4043
163,188527708.6,40.09,1,0,0.7274,0.4023
164,188527763.5,21.31,1,0,0.7274,0.4006
165,188527786.6,25.40,1,0,0.7274,0.3989
166,188527813.9,21.08,1,0,0.7275,0.3974
167,188527837.0,39.12,1,0,0.7277,0.3959
168,188527889.0,18.89,1,0,0.7278,0.3945
169,188527921.0,34.59,1,0,0.7278,0.3933
170,188527967.5,20.45,1,0,0.7279,0.3921
171,188527989.6,31.51,1,0,0.7279,0.3910
172,188528023.0,19.47,1,0,0.7279,0.3900
173,188528044.3,42.33,1,0,0.7279,0.3891
174,188528088.6,18.69,1,0,0.7278,0.3882
175,188528108.9,39.75,1,0,0.7277,0.3873
176,188528150.6,20.40,1,0,0.7276,0.3864
177,188528172.6,38.94,1,0,0.7271,0.3854
178,188528213.5,29.22,1,0,0.7265,0.3845
179,188528244.7,30.66,1,0,0.7261,0.3846
180,188528277.2,21.39,1,0,0.7256,0.3843
181,188528300.6,54.03,1,1,0.7248,0.3867
182,188528356.3,21.54,1,1,0.7241,0.3880
183,188528379.9,41.55,1,1,0.7206,0.3881
184,188528423.4,21.88,1,1,0.7181,0.3885
185,188528447.2,38.20,1,1,0.7153,0.3897
186,188528498.0,21.63,1,1,0.7130,0.3904
187,188528521.6,29.22,1,1,0.7108,0.3909
188,188528552.6,21.70,1,1,0.7087,0.3914
189,188528589.5,23.42,1,1,0.7070,0.3916
190,188528614.9,30.74,1,1,0.7054,0.3919
191,188528647.6,27.95,1,1,0.7045,0.3916
192,188528683.6,21.55,1,1,0.7034,0.3915
193,188528707.0,47.46,1,1,0.7030,0.3908
194,188528756.2,21.72,1,1,0.7026,0.3905
195,188528779.9,38.11,1,1,0.7037,0.3882
196,188528820.0,20.30,1,1,0.7043,0.3870
197,188528842.0,37.21,1,1,0.7056,0.3848
198,188528880.7,23.58,1,1,0.7067,0.3823
199,188528906.3,51.22,1,1,0.7080,0.3798
200,188528959.3,21.37,1,1,0.7092,0.3773
201,188528984.4,26.57,1,1,0.7101,0.3752
202,188529012.5,18.11,1,1,0.7109,0.3733
203,188529040.1,34.98,1,1,0.7115,0.3714
204,188529087.6,20.48,1,1,0.7119,0.3700
205,188529109.8,31.96,1,1,0.7121,0.3689
206,188529143.7,29.18,1,0,0.7121,0.3689
207,188529174.5,52.98,1,0,0.7122,0.3691
208,188529229.3,21.55,1,0,0.7124,0.3697
209,188529260.6,24.56,1,0,0.7125,0.3704
210,188529287.3,21.18,1,0,0.7125,0.3711
211,188529312.2,34.05,1,0,0.7121,0.3718
212,188529348.3,30.91,1,0,0.7117,0.3726
213,188529381.2,32.64,1,0,0.7112,0.3736
214,188529415.8,19.94,1,0,0.7108,0.3746
215,188529437.7,35.22,1,0,0.7101,0.3757
216,188529479.6,20.11,1,0,0.7095,0.3767
217,188529501.4,37.29,1,1,0.7085,0.3794
218,188529540.6,21.50,1,1,0.7078,0.3811
219,188529564.1,56.04,1,1,0.7060,0.3843
220,188529621.9,20.23,1,1,0.7046,0.3865
221,188529643.7,36.96,1,1,0.7030,0.3883
222,188529682.7,18.96,1,1,0.7015,0.3900
223,188529714.7,29.99,1,1,0.7002,0.3913
224,188529746.5,19.82,1,1,0.6990,0.3928
225,188529777.2,32.23,1,1,0.6980,0.3931
226,188529824.2,21.62,1,1,0.6972,0.3939
227,188529847.6,26.03,1,1,0.6970,0.3938
228,188529885.7,20.26,1,1,0.6967,0.3939
229,188529907.9,29.42,1,1,0.6973,0.3931
230,188529938.9,18.69,1,1,0.6979,0.3925
231,188529963.2,55.25,1,1,0.6992,0.3909
232,188530020.2,21.58,1,1,0.6999,0.3902
233,188530043.8,44.17,1,1,0.7009,0.3878
234,188530089.9,21.80,1,1,0.7019,0.3857
235,188530113.6,47.99,1,1,0.7028,0.3836
236,188530174.9,22.43,1,1,0.7037,0.3815
237,188530199.3,21.17,1,1,0.7046,0.3796
238,188530222.4,21.69,1,1,0.7054,0.3780
239,188530245.9,29.56,1,1,0.7062,0.3766
240,188530278.8,21.05,1,0,0.7068,0.3760
241,188530301.8,41.33,1,0,0.7072,0.3758
242,188530345.2,22.10,1,0,0.7076,0.3762
243,188530369.3,49.67,1,0,0.7079,0.3766
244,188530420.7,23.72,1,0,0.7083,0.3771
245,188530448.8,34.23,1,0,0.7087,0.3776
246,188530484.8,19.82,1,0,0.7091,0.3781
247,188530506.3,42.38,1,0,0.7103,0.3800
248,188530550.7,20.30,1,0,0.7112,0.3814
249,188530572.9,38.78,1,1,0.7134,0.3898
250,188530613.6,19.69,1,1,0.7149,0.3963
251,188530636.3,39.33,1,1,0.7169,0.4031
252,188530683.8,29.41,1,1,0.7188,0.4090
253,188530715.1,25.77,1,1,0.7206,0.4151
254,188530742.9,19.77,1,1,0.7224,0.4207
255,188530764.2,56.03,1,1,0.7241,0.4260
256,188530822.0,23.36,1,1,0.7257,0.4311
257,188530847.3,37.43,1,1,0.7271,0.4361
258,188530886.7,18.95,1,1,0.7285,0.4409
259,188530907.2,39.46,1,1,0.7296,0.4457
260,188530948.6,21.55,1,1,0.7306,0.4504
261,188530972.1,39.60,1,1,0.7315,0.4547
262,188531013.7,19.89,1,1,0.7325,0.4584
263,188531035.2,38.44,1,1,0.7333,0.4619
264,188531090.8,27.23,1,0,0.7345,0.4617
265,188531119.8,18.65,1,0,0.7357,0.4612
266,188531140.1,30.87,1,0,0.7367,0.4607
267,188531185.3,33.86,1,0,0.7377,0.4603
268,188531221.1,20.67,1,0,0.7387,0.4598
269,188531243.8,41.13,1,0,0.7396,0.4593
270,188531286.6,19.49,1,0,0.7405,0.4588
271,188531310.8,36.31,1,0,0.7413,0.4584
272,188531349.1,30.82,1,0,0.7421,0.4581
273,188531381.7,31.13,1,0,0.7429,0.4577
274,188531414.8,20.26,1,0,0.7436,0.4573
275,188531437.0,38.23,1,0,0.7442,0.4570
276,188531477.0,18.70,1,0,0.7449,0.4568
277,188531512.8,26.70,1,0,0.7455,0.4565
278,188531543.9,21.11,1,0,0.7461,0.4562
279,188531575.3,44.21,1,0,0.7466,0.4560
280,188531622.3,31.35,1,0,0.7471,0.4558
281,188531655.7,26.47,1,0,0.7476,0.4556
282,188531685.9,19.73,1,0,0.7480,0.4554
283,188531707.5,39.28,1,0,0.7485,0.4552
284,188531748.7,30.53,1,0,0.7489,0.4550
285,188531781.0,32.40,1,0,0.7493,0.4548
286,188531815.3,19.78,1,0,0.7497,0.4546
287,188531837.0,39.04,1,0,0.7501,0.4545
288,188531877.6,21.54,1,0,0.7505,0.4543
289,188531901.1,39.99,1,0,0.7508,0.4542
290,188531942.9,18.79,1,0,0.7511,0.4541
291,188531963.3,57.36,1,0,0.7514,0.4539
292,188532022.4,21.87,1,0,0.7517,0.4538
293,188532046.1,40.16,1,0,0.7520,0.4535
294,188532088.1,20.14,1,0,0.7522,0.4533
295,188532110.1,37.09,1,0,0.7526,0.4530
296,188532149.1,18.15,1,0,0.7530,0.4526
297,188532168.9,43.58,1,0,0.7533,0.4522
298,188532214.4,21.98,1,0,0.7537,0.4518
299,188532238.4,38.21,1,0,0.7542,0.4513
