frame_idx,timestamp_ms,latency_ms,detected,gesture,pred_x,pred_y
0,188445541.1,571.31,1,0,0.5000,0.5000
1,188446152.5,16.69,1,0,0.5000,0.5000
2,188446171.7,23.02,1,0,0.5000,0.5000
3,188446202.6,18.18,1,0,0.5000,0.5000
4,188446234.6,17.80,1,0,0.5000,0.5000
5,188446266.6,25.41,1,0,0.5000,0.5000
6,188446294.5,39.85,1,0,0.5000,0.5000
7,188446337.9,33.62,1,0,0.5000,0.5000
8,188446374.8,25.43,1,0,0.5000,0.5000
9,188446402.3,23.67,1,0,0.5000,0.5000
10,188446428.2,21.88,1,0,0.5000,0.5000
11,188446453.5,22.95,1,0,0.5000,0.5000
12,188446483.5,16.75,1,0,0.5000,0.5000
13,188446501.9,17.83,1,0,0.5000,0.5000
14,188446531.6,27.93,1,0,0.5000,0.5000
15,188446562.1,42.14,1,0,0.5133,0.5086
16,188446607.1,39.17,1,0,0.5253,0.5161
17,188446649.0,27.91,1,0,0.5361,0.5230
18,188446678.8,24.63,1,0,0.5458,0.5292
19,188446705.4,28.58,1,0,0.5544,0.5349
20,188446736.0,29.22,1,0,0.5623,0.5404
21,188446767.2,19.52,1,0,0.5694,0.5453
22,188446788.7,39.23,1,0,0.5759,0.5496
23,188446829.9,21.66,1,0,0.5817,0.5536
24,188446853.9,44.59,1,0,0.5870,0.5572
25,188446900.4,24.49,1,0,0.5919,0.5607
26,188446926.7,39.44,1,0,0.5963,0.5635
27,188446968.1,31.29,1,0,0.6003,0.5659
28,188447001.2,19.66,1,0,0.6036,0.5680
29,188447022.5,18.99,1,0,0.6066,0.5697
30,188447045.3,46.39,1,0,0.6093,0.5712
31,188447101.2,22.68,1,0,0.6116,0.5721
32,188447127.7,35.49,1,0,0.6137,0.5734
33,188447164.8,21.64,1,0,0.6157,0.5742
34,188447202.4,24.80,1,0,0.6174,0.5745
35,188447234.0,24.46,1,0,0.6190,0.5749
36,188447260.1,32.94,1,0,0.6204,0.5755
37,188447294.6,18.21,1,0,0.6217,0.5760
38,188447315.4,40.81,1,0,0.6228,0.5765
39,188447358.0,21.24,1,0,0.6239,0.5770
40,188447381.3,39.57,1,0,0.6248,0.5772
41,188447423.2,26.12,1,0,0.6257,0.5773
42,188447451.9,33.38,1,0,0.6259,0.5764
43,188447487.2,21.35,1,0,0.6265,0.5761
44,188447510.6,53.47,1,0,0.6262,0.5712
45,188447566.6,21.12,1,0,0.6264,0.5690
46,188447589.7,34.42,1,1,0.6275,0.5581
47,188447642.0,19.87,1,1,0.6269,0.5511
48,188447663.5,28.11,1,1,0.6268,0.5348
49,188447693.2,17.72,1,1,0.6272,0.5236
50,188447719.5,34.87,1,1,0.6273,0.5049
51,188447756.3,23.63,1,1,0.6280,0.4895
52,188447781.6,34.11,1,1,0.6310,0.4742
53,188447827.0,19.09,1,1,0.6332,0.4604
54,188447847.7,32.58,1,1,0.6355,0.4482
55,188447882.2,22.84,1,1,0.6376,0.4371
56,188447921.1,26.61,1,1,0.6395,0.4271
57,188447949.6,23.16,1,1,0.6413,0.4183
58,188447974.7,49.82,1,1,0.6432,0.4107
59,188448026.6,21.83,1,1,0.6452,0.4042
60,188448050.1,41.07,1,1,0.6469,0.3985
61,188448108.1,20.28,1,1,0.6480,0.3942
62,188448129.9,24.81,1,1,0.6491,0.3904
63,188448156.4,21.10,1,1,0.6491,0.3892
64,188448185.6,32.42,1,0,0.6490,0.3881
65,188448232.6,21.44,1,0,0.6491,0.3884
66,188448263.6,20.34,1,0,0.6505,0.3942
67,188448285.6,21.31,1,0,0.6513,0.3995
68,188448308.9,38.93,1,1,0.6528,0.4223
69,188448349.8,21.24,1,1,0.6531,0.4371
70,188448372.8,52.03,1,1,0.6542,0.4584
71,188448426.5,20.38,1,1,0.6549,0.4751
72,188448448.7,46.00,1,1,0.6557,0.4907
73,188448496.5,19.37,1,1,0.6558,0.5042
74,188448528.1,28.18,1,1,0.6563,0.5163
75,188448558.3,31.11,1,1,0.6564,0.5276
76,188448591.3,28.51,1,1,0.6564,0.5382
77,188448621.7,18.46,1,1,0.6563,0.5475
78,188448641.8,40.27,1,1,0.6560,0.5562
79,188448683.6,19.42,1,1,0.6558,0.5638
80,188448704.5,44.94,1,1,0.6554,0.5707
81,188448751.2,29.06,1,1,0.6553,0.5765
82,188448782.6,44.72,1,1,0.6552,0.5816
83,188448829.2,21.54,1,1,0.6546,0.5791
84,188448857.7,32.91,1,1,0.6540,0.5769
85,188448905.2,21.14,1,0,0.6523,0.5718
86,188448928.2,24.81,1,0,0.6505,0.5676
87,188448966.2,29.61,1,0,0.6489,0.5640
88,188448997.8,22.00,1,0,0.6471,0.5613
89,188449021.4,20.00,1,0,0.6455,0.5589
90,188449043.2,39.78,1,0,0.6439,0.5572
91,188449084.6,31.03,1,0,0.6426,0.5557
92,188449117.6,31.13,1,0,0.6413,0.5548
93,188449153.2,21.80,1,0,0.6403,0.5543
94,188449177.1,50.14,1,0,0.6393,0.5542
95,188449228.9,20.79,1,0,0.6386,0.5545
96,188449251.6,38.04,1,0,0.6380,0.5553
97,188449291.4,21.32,1,0,0.6376,0.5567
98,188449314.7,39.65,1,0,0.6371,0.5586
99,188449356.4,19.92,1,0,0.6369,0.5608
100,188449388.7,29.57,1,0,0.6367,0.5642
101,188449419.9,30.30,1,0,0.6365,0.5668
102,188449451.8,43.17,1,0,0.6360,0.5693
103,188449496.8,19.42,1,0,0.6358,0.5721
104,188449518.1,30.29,1,0,0.6378,0.5729
105,188449550.4,21.17,1,0,0.6394,0.5737
106,188449575.8,51.57,1,0,0.6410,0.5763
107,188449629.0,21.36,1,1,0.6425,0.5794
108,188449652.2,37.28,1,1,0.6443,0.5831
109,188449691.1,21.02,1,1,0.6456,0.5870
110,188449714.1,40.24,1,1,0.6468,0.5915
111,188449756.3,22.82,1,1,0.6479,0.5959
112,188449780.9,40.39,1,1,0.6483,0.5999
113,188449823.2,21.01,1,1,0.6488,0.6041
114,188449846.2,37.12,1,1,0.6490,0.6080
115,188449884.9,19.32,1,1,0.6494,0.6115
116,188449905.8,41.97,1,1,0.6500,0.6139
117,188449949.7,30.51,1,1,0.6503,0.6166
118,188449982.1,42.97,1,1,0.6507,0.6171
119,188450026.7,29.11,1,0,0.6517,0.6191
120,188450057.6,40.81,1,0,0.6518,0.6196
121,188450100.4,21.35,1,0,0.6518,0.6210
122,188450123.7,31.42,1,1,0.6513,0.6091
123,188450156.9,26.75,1,1,0.6502,0.5996
124,188450201.9,20.50,1,1,0.6497,0.5843
125,188450224.3,19.76,1,1,0.6485,0.5724
126,188450246.0,34.88,1,1,0.6464,0.5548
127,188450282.9,20.06,1,1,0.6440,0.5387
128,188450310.3,35.97,1,1,0.6424,0.5248
129,188450358.3,30.53,1,1,0.6409,0.5116
130,188450390.7,35.96,1,1,0.6413,0.5023
131,188450428.6,24.87,1,1,0.6411,0.4916
132,188450455.0,32.63,1,1,0.6428,0.4984
133,188450500.4,18.77,1,1,0.6436,0.5022
134,188450521.2,34.10,1,1,0.6466,0.4852
135,188450561.4,20.15,1,1,0.6461,0.4898
136,188450583.0,35.19,1,1,0.6433,0.4961
137,188450620.2,18.30,1,1,0.6419,0.4995
138,188450640.2,37.81,1,1,0.6393,0.5035
139,188450679.6,20.42,1,1,0.6377,0.5075
140,188450702.0,42.62,1,1,0.6330,0.5069
141,188450750.4,31.38,1,1,0.6293,0.5074
142,188450783.7,41.33,1,1,0.6306,0.5102
143,188450828.9,18.71,1,1,0.6306,0.5115
144,188450849.1,44.90,1,1,0.6350,0.5134
145,188450908.4,19.75,1,1,0.6376,0.5149
146,188450930.0,26.64,1,1,0.6447,0.5140
147,188450958.6,18.31,1,1,0.6497,0.5116
148,188450986.9,31.95,1,1,0.6560,0.5150
149,188451020.5,28.07,1,1,0.6611,0.5230
150,188451050.4,35.46,1,1,0.6697,0.5041
151,188451087.8,20.49,1,1,0.6762,0.4887
152,188451110.2,39.47,1,1,0.6787,0.4771
153,188451151.3,21.57,1,1,0.6813,0.4700
154,188451174.8,52.67,1,1,0.6810,0.4602
155,188451229.6,22.19,1,1,0.6817,0.4501
156,188451253.6,35.72,1,1,0.6785,0.4418
157,188451290.8,18.23,1,1,0.6770,0.4338
158,188451318.5,34.36,1,1,0.6740,0.4269
159,188451365.4,18.31,1,1,0.6725,0.4199
160,188451396.9,23.26,1,1,0.6691,0.4146
161,188451421.9,21.53,1,1,0.6665,0.4096
162,188451445.4,37.77,1,1,0.6629,0.4055
163,188451484.7,29.41,1,1,0.6608,0.4019
164,188451516.0,32.53,1,1,0.6572,0.3999
165,188451550.4,18.81,1,1,0.6542,0.3980
166,188451570.8,53.41,1,1,0.6503,0.3972
167,188451626.3,20.51,1,1,0.6466,0.3962
168,188451648.8,39.26,1,1,0.6421,0.3986
169,188451693.5,21.82,1,1,0.6379,0.4003
170,188451717.0,39.91,1,1,0.6329,0.4042
171,188451758.9,19.34,1,1,0.6280,0.4048
172,188451786.0,30.35,1,1,0.6221,0.4104
173,188451818.1,20.26,1,1,0.6170,0.4140
174,188451840.3,40.20,1,1,0.6111,0.4182
175,188451895.5,19.93,1,1,0.6066,0.4233
176,188451917.1,29.18,1,1,0.6008,0.4295
177,188451947.9,18.46,1,1,0.5958,0.4346
178,188451968.0,55.97,1,1,0.5915,0.4452
179,188452036.0,31.57,1,1,0.5877,0.4536
180,188452069.5,18.50,1,1,0.5814,0.4596
181,188452089.7,32.34,1,1,0.5763,0.4645
182,188452127.5,28.69,1,1,0.5718,0.4705
183,188452159.5,21.03,1,1,0.5681,0.4757
184,188452182.5,34.39,1,1,0.5654,0.4797
185,188452221.0,19.91,1,1,0.5631,0.4831
186,188452242.7,42.06,1,1,0.5657,0.4863
187,188452286.7,20.31,1,1,0.5679,0.4951
188,188452309.0,39.26,1,1,0.5715,0.4935
189,188452350.2,22.29,1,1,0.5752,0.4967
190,188452374.5,52.04,1,1,0.5825,0.5115
191,188452428.3,21.36,1,1,0.5877,0.5243
192,188452451.6,39.24,1,1,0.5960,0.5092
193,188452503.5,18.59,1,1,0.6017,0.5029
194,188452523.7,29.16,1,1,0.6106,0.4983
195,188452554.9,21.17,1,1,0.6178,0.4928
196,188452578.0,42.22,1,1,0.6258,0.5055
197,188452622.1,19.56,1,1,0.6320,0.5170
198,188452643.5,39.14,1,1,0.6401,0.5199
199,188452690.6,22.39,1,1,0.6467,0.5222
200,188452714.5,32.53,1,1,0.6591,0.5048
201,188452753.6,18.75,1,1,0.6698,0.4882
202,188452784.1,41.23,1,1,0.6813,0.4772
203,188452832.1,19.44,1,1,0.6912,0.4666
204,188452863.1,29.56,1,1,0.6998,0.4587
205,188452894.7,29.29,1,1,0.7075,0.4517
206,188452925.5,28.96,1,1,0.7118,0.4503
207,188452956.4,18.67,1,1,0.7157,0.4482
208,188452988.1,29.98,1,1,0.7087,0.4679
209,188453020.1,20.57,1,1,0.7043,0.4850
210,188453042.4,44.82,1,1,0.6967,0.4975
211,188453089.2,21.97,1,1,0.6914,0.5135
212,188453112.8,32.23,1,1,0.6805,0.5159
213,188453147.2,19.51,1,1,0.6752,0.5351
214,188453168.2,46.01,1,1,0.6691,0.5569
215,188453215.9,22.00,1,1,0.6642,0.5725
216,188453254.1,40.35,1,1,0.6591,0.5837
217,188453296.1,20.89,1,1,0.6540,0.5953
218,188453318.7,36.99,1,1,0.6554,0.6083
219,188453357.7,20.22,1,1,0.6542,0.6178
220,188453379.8,39.86,1,1,0.6569,0.6313
221,188453421.7,23.44,1,1,0.6576,0.6428
222,188453446.6,35.70,1,1,0.6633,0.6572
223,188453484.0,21.26,1,1,0.6680,0.6668
224,188453507.2,40.37,1,1,0.6744,0.6710
225,188453549.5,21.48,1,1,0.6798,0.6749
226,188453573.0,37.21,1,1,0.6844,0.6755
227,188453612.2,30.86,1,1,0.6886,0.6764
228,188453644.9,47.52,1,1,0.6872,0.6857
229,188453694.2,27.46,1,1,0.6869,0.6931
230,188453723.5,26.59,1,1,0.6796,0.7068
231,188453753.7,20.38,1,1,0.6736,0.7187
232,188453776.1,42.33,1,1,0.6624,0.7290
233,188453831.2,19.90,1,1,0.6508,0.7344
234,188453853.0,37.15,1,1,0.6396,0.7335
235,188453892.0,21.26,1,1,0.6307,0.7311
236,188453915.2,34.06,1,1,0.6253,0.7243
237,188453951.0,18.76,1,1,0.6204,0.7190
238,188453971.3,37.40,1,1,0.6201,0.7138
239,188454010.3,21.36,1,1,0.6254,0.7134
240,188454033.4,57.16,1,1,0.6326,0.7197
241,188454092.2,20.94,1,1,0.6387,0.7183
242,188454115.1,41.70,1,1,0.6467,0.6931
243,188454158.8,31.08,1,1,0.6544,0.6674
244,188454191.9,31.38,1,1,0.6586,0.6489
245,188454225.2,21.56,1,1,0.6615,0.6452
246,188454248.6,32.11,1,1,0.6614,0.6435
247,188454282.3,18.94,1,1,0.6615,0.6411
248,188454302.9,44.95,1,1,0.6575,0.6352
